,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
191,191,Stephen Curry,2015,26,GSW,NBA,PG,80,80,32.7,8.2,16.8,0.48700000000000004,3.6,8.1,.443,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,1,False
192,192,Marc Gasol,2015,30,MEM,NBA,C,81,81,33.2,6.5,13.2,0.494,0.0,0.2,.176,6.5,13.0,0.5,0.496,4.3,5.4,0.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,1,False
193,193,Klay Thompson,2015,24,GSW,NBA,SG,77,77,31.9,7.8,16.9,0.46299999999999997,3.1,7.1,.439,4.7,9.8,0.48100000000000004,0.555,2.9,3.3,0.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7,0,True
194,194,LaMarcus Aldridge,2015,29,POR,NBA,PF,71,71,35.4,9.3,19.9,0.466,0.5,1.5,.352,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,3,False
195,195,Chris Paul,2015,29,LAC,NBA,PG,82,82,34.8,6.9,14.3,0.485,1.7,4.3,.398,5.2,10.0,0.523,0.545,3.5,3.9,0.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,6,False
196,196,Russell Westbrook,2015,26,OKC,NBA,PG,67,67,34.4,9.4,22.0,0.426,1.3,4.3,.299,8.1,17.7,0.457,0.455,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,3,False
197,197,DeMarcus Cousins,2015,24,SAC,NBA,C,59,59,34.1,8.4,18.1,0.467,0.0,0.1,.250,8.4,17.9,0.469,0.46799999999999997,7.2,9.2,0.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1,0,True
198,198,Damian Lillard,2015,24,POR,NBA,PG,82,82,35.7,7.2,16.6,0.434,2.4,7.0,.343,4.8,9.6,0.5,0.506,4.2,4.9,0.8640000000000001,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0,1,False
199,199,Tim Duncan,2015,38,SAS,NBA,C,77,77,28.9,5.4,10.6,0.512,0.0,0.1,.286,5.4,10.5,0.514,0.513,3.0,4.0,0.74,2.2,6.9,9.1,3.0,0.8,2.0,1.7,2.1,13.9,11,False
200,200,Dirk Nowitzki,2015,36,DAL,NBA,PF,77,77,29.6,6.3,13.8,0.45899999999999996,1.4,3.6,.380,5.0,10.2,0.486,0.508,3.3,3.8,0.882,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3,12,False
201,201,Kevin Durant,2015,26,OKC,NBA,SF,27,27,33.8,8.8,17.3,0.51,2.4,5.9,.403,6.4,11.4,0.565,0.578,5.4,6.3,0.8540000000000001,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4,5,False
202,202,LeBron James,2015,30,CLE,NBA,SF,69,69,36.1,9.0,18.5,0.488,1.7,4.9,.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,10,False
203,203,Carmelo Anthony,2015,30,NYK,NBA,SF,40,40,35.7,9.0,20.2,0.444,1.5,4.5,.341,7.4,15.7,0.474,0.48200000000000004,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2,7,False
204,204,John Wall,2015,24,WAS,NBA,PG,79,79,35.9,6.6,14.8,0.445,0.8,2.7,.300,5.7,12.0,0.478,0.473,3.6,4.6,0.785,0.5,4.2,4.6,10.0,1.7,0.6,3.8,2.3,17.6,1,False
205,205,Pau Gasol,2015,34,CHI,NBA,PF,78,78,34.4,7.3,14.8,0.494,0.2,0.3,.462,7.2,14.4,0.495,0.5,3.8,4.7,0.8029999999999999,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,18.5,4,False
206,206,Kyle Lowry,2015,28,TOR,NBA,PG,70,70,34.5,6.1,14.9,0.41200000000000003,1.9,5.6,.338,4.3,9.3,0.457,0.47600000000000003,3.6,4.5,0.8079999999999999,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8,0,True
207,207,Kyrie Irving,2015,22,CLE,NBA,PG,75,75,36.4,7.7,16.5,0.46799999999999997,2.1,5.0,.415,5.6,11.4,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,2,False
208,208,Kyle Korver,2015,33,ATL,NBA,SG,75,75,32.2,3.9,8.0,0.48700000000000004,2.9,6.0,.492,0.9,2.0,0.47,0.6709999999999999,1.4,1.6,0.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,0,True
209,209,Paul Millsap,2015,29,ATL,NBA,PF,73,73,32.7,6.1,12.7,0.47600000000000003,1.1,3.0,.356,5.0,9.8,0.513,0.518,3.5,4.6,0.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7,1,False
210,210,Al Horford,2015,28,ATL,NBA,C,76,76,30.5,6.8,12.7,0.5379999999999999,0.1,0.5,.306,6.7,12.2,0.547,0.544,1.4,1.9,0.759,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2,2,False
211,211,Jeff Teague,2015,26,ATL,NBA,PG,73,72,30.5,5.6,12.2,0.46,1.0,2.8,.343,4.6,9.3,0.496,0.5,3.8,4.4,0.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,15.9,0,True
212,212,Chris Bosh,2015,30,MIA,NBA,C,44,44,35.4,7.8,16.9,0.46,1.4,3.8,.375,6.4,13.1,0.485,0.503,4.1,5.3,0.772,1.0,6.0,7.0,2.2,0.9,0.6,2.2,1.6,21.1,8,False
213,213,Jimmy Butler,2015,25,CHI,NBA,SG,65,65,38.7,6.5,14.0,0.462,1.1,3.0,.378,5.4,11.1,0.484,0.502,5.9,7.1,0.8340000000000001,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0,0,True
214,214,Kyrie Irving,2014,21,CLE,NBA,PG,71,71,35.2,7.5,17.4,0.43,1.7,4.8,.358,5.8,12.6,0.45799999999999996,0.48,4.1,4.8,0.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,2.3,20.8,1,False
