,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
238,2024,Nick Richards,C,26,CHO,76,63,24.1,3.4,5.1,.671,0.0,0.0,0,3.4,5.1,.671,.671,1.8,2.4,.757,2.4,5.1,7.5,0.8,0.4,1.2,0.9,2.7,8.6,0,.216,1.6862745098039216,0.05,0.05,=
237,2024,Immanuel Quickley,SG-PG,24,TOR,80,50,25.2,5.2,11.6,.450,2.3,5.5,.417,2.9,6.1,.480,.549,2.9,3.3,.870,0.2,2.7,2.9,3.0,0.5,0.1,1.0,1.6,15.7,0,.385,1.353448275862069,0.05,0.05,=
235,2024,Amen Thompson,SF,21,HOU,63,44,15.6,2.1,4.9,.415,0.2,1.4,.154,1.8,3.6,.515,.436,1.2,1.8,.657,0.7,2.9,3.6,1.9,0.9,0.2,1.3,1.7,5.5,0,.500,1.1224489795918366,0.05,0.05,=
234,2024,Rui Hachimura,PF,25,LAL,68,47,23.3,4.5,9.3,.486,1.1,3.0,.359,3.5,6.3,.545,.543,1.7,2.2,.768,0.8,2.8,3.6,1.1,0.7,0.2,0.8,1.4,11.8,0,.475,1.2688172043010753,0.05,0.05,=
233,2024,Gabe Vincent,PG,27,LAL,47,42,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4,0,.475,0.84375,0.05,0.05,=
232,2024,Cory Joseph,PG,32,GSW,63,43,10.9,0.7,2.4,.277,0.3,1.5,.200,0.4,0.9,.412,.340,0.2,0.4,.571,0.2,0.8,1.0,1.8,0.2,0.2,0.6,1.0,1.8,0,.462,0.75,0.05,0.05,=
247,2024,A.J. Lawson,SG,23,DAL,59,42,10.1,1.7,3.6,.468,0.6,1.8,.323,1.1,1.8,.613,.548,0.6,0.9,.733,0.5,0.9,1.4,0.6,0.5,0.1,0.5,0.8,4.6,0,.575,1.2777777777777777,0.04,0.04,=
253,2024,Marvin Bagley III,C,24,DET,69,53,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,0,.077,1.457142857142857,0.04,0.04,=
252,2024,Josh Green,SG,23,DAL,70,53,25.4,2.8,6.0,.461,1.0,2.9,.354,1.7,3.0,.565,.548,0.6,0.9,.615,0.5,2.4,2.9,2.5,0.8,0.2,0.9,1.7,7.1,0,.575,1.1833333333333333,0.04,0.04,=
251,2024,Ousmane Dieng,PF,20,OKC,64,44,11.7,1.6,3.6,.431,0.8,2.4,.319,0.8,1.3,.640,.535,0.5,0.6,.833,0.4,1.5,1.9,1.0,0.1,0.0,0.4,0.7,4.4,0,.711,1.2222222222222223,0.04,0.04,=
