,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
34,2024,Anthony Black,PG,20,ORL,80,76,19.6,2.0,4.0,.506,0.5,1.4,.323,1.5,2.5,.607,.563,0.7,1.1,.640,0.6,1.9,2.5,1.5,0.4,0.4,1.0,2.1,5.2,0,.667,1.3,0.76
311,2024,Derrick Rose,PG,35,MEM,73,65,18.9,3.5,8.1,.438,0.7,2.1,.344,2.8,5.9,.472,.483,1.3,1.4,.905,0.5,1.5,2.0,3.5,0.5,0.1,1.4,1.2,9.1,3,.250,1.123456790123457,0.73
159,2024,Al Horford,C,37,BOS,79,66,26.2,2.9,5.8,.496,1.3,3.6,.360,1.6,2.2,.717,.607,0.4,0.4,1.000,1.7,5.1,6.9,2.7,0.5,1.0,1.0,1.7,7.4,5,.792,1.2758620689655173,0.73
386,2024,Cam Whitmore,SF,19,HOU,65,60,6.4,1.4,3.0,.467,0.2,1.0,.200,1.2,2.0,.600,.500,1.0,2.0,.500,0.2,1.4,1.6,0.4,0.2,0.0,0.4,0.4,4.0,0,.591,1.3333333333333333,0.72
24,2024,Emoni Bates,SF,20,CLE,63,56,7.4,0.6,2.1,.267,0.4,1.7,.250,0.1,0.4,.333,.367,0.1,0.3,.500,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7,0,.538,0.8095238095238094,0.72
217,2024,Kevin Love,PF,35,MIA,76,60,19.0,3.1,7.2,.427,1.9,5.2,.365,1.2,2.0,.590,.559,1.6,2.0,.821,1.0,5.8,6.8,2.5,0.4,0.1,0.7,1.9,9.6,3,.577,1.3333333333333333,0.71
13,2024,Amari Bailey,PG,19,CHO,60,58,5.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.5,1.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5,0,.292,0.8333333333333334,0.68
235,2024,T.J. McConnell,PG,31,IND,76,59,15.4,3.5,6.8,.512,0.1,0.6,.100,3.4,6.3,.549,.516,0.7,1.0,.722,0.6,2.1,2.6,4.7,1.0,0.2,1.2,1.1,7.8,0,.542,1.1470588235294117,0.68
115,2024,Keyonte George,PG,20,UTA,80,72,25.8,3.5,9.6,.361,1.6,5.1,.320,1.8,4.5,.407,.446,2.4,3.0,.781,0.5,2.5,3.0,5.0,0.5,0.1,2.3,1.1,10.9,0,.346,1.1354166666666667,0.65
300,2024,Austin Reaves,SG,25,LAL,82,65,29.4,5.1,10.8,.472,1.7,4.6,.358,3.5,6.2,.556,.548,2.9,3.3,.862,1.0,3.8,4.8,4.9,0.9,0.1,2.3,1.4,14.8,0,.577,1.3703703703703702,0.64
333,2024,Marcus Smart,PG,29,MEM,69,69,29.9,4.6,10.8,.429,1.6,5.5,.295,3.0,5.3,.569,.504,1.5,1.9,.810,0.3,2.2,2.5,5.0,2.0,0.4,3.4,3.2,12.5,0,.250,1.1574074074074074,0.61
223,2024,Tre Mann,PG,22,OKC,66,58,10.6,2.0,4.0,.500,0.6,1.6,.385,1.4,2.4,.579,.578,0.1,0.1,1.000,0.4,1.8,2.1,1.5,0.4,0.0,0.9,0.4,4.8,0,.667,1.2,0.61
104,2024,Dorian Finney-Smith,PF,30,BRK,80,74,29.9,4.0,8.3,.474,2.4,5.5,.441,1.5,2.8,.538,.620,0.2,0.3,.667,2.1,3.1,5.2,1.2,0.7,0.7,0.9,2.2,10.5,0,.520,1.2650602409638554,0.6
118,2024,Harry Giles,C,25,BRK,62,57,7.2,2.8,4.6,.609,0.2,1.0,.200,2.6,3.6,.722,.630,1.0,1.4,.714,1.0,1.0,2.0,0.2,0.2,0.2,0.2,0.8,6.8,0,.520,1.4782608695652175,0.59
222,2024,Terance Mann,SG,27,LAC,76,72,26.4,2.7,6.2,.436,0.7,2.9,.236,2.0,3.3,.613,.491,0.8,1.2,.682,1.1,2.5,3.6,2.2,0.7,0.3,0.6,1.8,6.8,0,.600,1.096774193548387,0.58
154,2024,D'Moi Hodge,SG,25,LAL,63,56,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,0,.577,0.9523809523809523,0.55
19,2024,Dalano Banton,PG,24,BOS,69,59,8.3,1.2,2.5,.481,0.1,0.6,.143,1.1,1.8,.600,.500,0.5,0.5,.833,0.9,1.4,2.3,0.5,0.2,0.2,0.5,1.1,2.9,0,.792,1.16,0.53
126,2024,Devonte' Graham,PG,28,SAS,62,58,11.3,0.5,2.3,.222,0.0,1.3,.000,0.5,1.0,.500,.222,1.0,1.3,.800,0.3,0.5,0.8,3.5,0.5,0.3,0.5,0.5,2.0,0,.167,0.8695652173913044,0.53
374,2024,Jarace Walker,PF,20,IND,66,58,10.5,1.5,3.5,.429,0.4,1.4,.273,1.1,2.1,.529,.482,0.4,0.4,1.000,0.1,1.4,1.5,1.4,0.5,0.4,0.4,1.4,3.8,0,.542,1.0857142857142856,0.53
356,2024,Xavier Tillman Sr.,C,25,MEM,70,63,20.4,3.0,7.3,.414,0.7,2.3,.296,2.3,5.0,.467,.460,0.4,1.2,.357,1.4,2.9,4.3,1.7,1.5,0.8,0.9,1.8,7.1,0,.250,0.9726027397260274,0.51
244,2024,Vasilije Micić,PG,30,OKC,67,58,12.7,1.1,3.2,.345,0.6,1.9,.294,0.6,1.3,.417,.431,0.4,0.7,.667,0.0,0.6,0.6,3.0,0.2,0.0,1.1,0.7,3.2,0,.667,1.0,0.51
204,2024,Saben Lee,PG,24,PHO,61,57,2.8,1.0,1.8,.571,0.0,0.3,.000,1.0,1.5,.667,.571,0.5,0.5,1.000,0.5,0.3,0.8,0.8,0.0,0.3,0.0,0.3,2.5,0,.520,1.3888888888888888,0.5
341,2024,Isaiah Stewart,PF,22,DET,81,81,30.3,3.8,8.4,.455,1.3,3.6,.367,2.5,4.8,.521,.533,1.3,1.7,.786,1.8,5.0,6.8,1.4,0.3,0.6,1.7,2.6,10.2,0,.077,1.2142857142857142,0.49
191,2024,Walker Kessler,C,22,UTA,74,66,24.7,3.8,6.8,.566,0.1,0.7,.167,3.7,6.1,.609,.574,0.8,1.4,.538,3.1,4.9,8.1,1.0,0.4,2.7,1.3,2.2,8.6,0,.346,1.2647058823529411,0.48
203,2024,A.J. Lawson,SG,23,DAL,65,57,6.6,1.3,3.0,.417,0.4,1.8,.214,0.9,1.3,.700,.479,0.3,0.5,.500,0.3,0.3,0.5,0.4,0.0,0.1,0.1,0.3,3.1,0,.640,1.0333333333333334,0.48
334,2024,Dennis Smith Jr.,PG,26,BRK,70,57,17.6,2.6,6.2,.425,0.5,1.7,.318,2.1,4.5,.466,.469,0.9,1.1,.857,0.8,2.2,3.0,3.5,0.8,0.2,0.9,2.2,6.7,0,.520,1.0806451612903225,0.45
